post_index,post_text
1,"InvestorStack - ทักษะนักลงทุน
Top contributor
  · 23m
  ·
กลยุทธ์ MACD เมื่อใช้กับหุ้นไทยและสหรัฐ ผลลัพธ์เป็นยังไงเข้าไปดูกันได้เลยยย
InvestorStack - ทักษะนักลงทุน
27m
  ·
Golden Cross, CDC หรือ MACD อันไหนดีกว่ากัน ??
เปรียบเทียบทั้งตลาดหุ้นไทยและตลาดหุ้นสหรัฐ!!
--
แอดได้ backtest ทั้งสามกลยุทธ์กับหุ้น SET 100 ในไทยและ Nasdaq 100 … See more
All reactions:
1
1
Like
Comment
Send
Share

Comment as Pupreaw Siriprapha"
2,"Sacoollada Jack
Top contributor
  · 27m
  ·
 **ข้อดีของตลาดหุ้นไทย (SET)**  
1. **โอกาสซื้อสะสมในราคาถูก 
**  
   - ตลาดหุ้นไทยติดลบถึง **-13.35%** ซึ่งอาจดูน่ากังวล แต่สำหรับนักลงทุนระยะยาว นี่คือโอกาสทองในการทยอยสะสมหุ้นพื้นฐานดีในราคาที่ต่ำกว่ามูลค่าที่แท้จริง  
   - การซื้อในช่วงตลาดขาลง สามารถสร้างผลตอบแทนที่ดีเมื่อเศรษฐกิจฟื้นตัว  … See more
All reactions:
4
4
4 shares
Like
Comment
Send
Share

Answer as Pupreaw Siriprapha"
3,"Jordan Graham
Top contributor
  · 41m
  ·
หุ้นขาขึ้นรอบใหม่
41m
  ·

การบ้าน 18.2.68

MGI COMAN JCKH VGI GFPT FSMART TOP KAMART KGEN ASIAN THG SPRC PM MTC METCO TFM AIT PLANET INET HENG TTB UTP LANNA TIDLOR QTL KTC SCP MUFG19 BABA80 LVMH01 HERMES80 XIAOMI80 #หุ้นขาขึ้นรอบใหม่
All reactions:
9
9
1 share
Like
Comment
Send
Share

Comment as Pupreaw Siriprapha"
4,"กำไรดีบอกด้วย
Top contributor
  · 3h
  ·
โอเค รูัเรื่องงง
ตลท.ชี้แจง หากตัด DELTA และ AOT หุ้นไทยจะบวก 15 จุด 
#TPinvestor #หุ้น
Think plus investor 
3h
  ·
All reactions:
2
2
1 comment
Like
Comment
Send
Share
Ajarn Liang
ตอนเขาแบกตลาดก็ไม่พูดเนาะ
14m
Like
Reply
Share

Answer as Pupreaw Siriprapha"
5,"Ajarn Liang
ตอนเขาแบกตลาดก็ไม่พูดเนาะ
14m
Like
Reply
Share"
6,"Micheal Masino
Top contributor
  · 1h
  ·
หุ้นจีนเป็นขาลงตั้งแต่ปี2020ซึ่งพึ่งมาฟื้น2025กินเวลา5ปี ไทยพึ่งเริ่มลงปี2023จะมาขึ้น2025เลยหรือ ผมว่าอาจจะกินเวลาไปถึงปี2028เลย
All reactions:
38
38
17 comments
1 share
Like
Comment
Send
Share
Wattana sakulmuen
ต้องมาดูปัจจัย จีนเขาปล่อยกลุ่มอสังหาล้มไป แล้วหนุนกลุ่มเทคให้ขึ้นมา ส่วนไทยหละ?
54m
Like
Reply
Share
Set Set
หลังโควิดของไทย เรียกว่าฟื้นตรงไหนหรอ 1700 ยังไม่ถึง ต่างชาตินิวไฮว่าเล่น
52m
Like
Reply
Share

Comment as Pupreaw Siriprapha"
7,"Wattana sakulmuen
ต้องมาดูปัจจัย จีนเขาปล่อยกลุ่มอสังหาล้มไป แล้วหนุนกลุ่มเทคให้ขึ้นมา ส่วนไทยหละ?
54m
Like
Reply
Share"
8,"Set Set
หลังโควิดของไทย เรียกว่าฟื้นตรงไหนหรอ 1700 ยังไม่ถึง ต่างชาตินิวไฮว่าเล่น
52m
Like
Reply
Share"
9,"Can Neverdie
9h
  ·


วันนี้ SET ไทย ลงหนัก
พรุ่งนี้จะขึ้นมั้ยครับ
แนะนำหน่อยครับ
All reactions:
13
13
11 comments
Like
Comment
Send
Share
เสธภพ สินตระการผล
เอาจริง ๆ มันลงแรง เพราะ delta เซตบวกแรงเพราะ delta แต่หุ้นโดยรวมมันดีอยู่นะ
ถ้าเอา delta ออกจาก set50 ได้ หุ้นโดยรวมคงดีกว่านี้ รวมไปถึง set50 ด้วย จะได้เห็น set บวกที่แท้จริง
8h
Like
Reply
Share
เกรียงไกร บัวระบัน
ดัชนีลบ จริง แต่หุ้นภาพรวม บวก
8h
Like
Reply
Share

Comment as Pupreaw Siriprapha"
10,"เสธภพ สินตระการผล
เอาจริง ๆ มันลงแรง เพราะ delta เซตบวกแรงเพราะ delta แต่หุ้นโดยรวมมันดีอยู่นะ
ถ้าเอา delta ออกจาก set50 ได้ หุ้นโดยรวมคงดีกว่านี้ รวมไปถึง set50 ด้วย จะได้เห็น set บวกที่แท้จริง
8h
Like
Reply
Share"
11,"เกรียงไกร บัวระบัน
ดัชนีลบ จริง แต่หุ้นภาพรวม บวก
8h
Like
Reply
Share"
12,"Korakot Kongsataya
Top contributor
  · 49m
  ·
+3
เล่นหุ้นเป็นวันวัน
2h
  ·
ห้องเรียน เล่นหุ้นเป็นวันวัน EP.1
“ทำความรู้จักกับกราฟแท่งเทียน : พื้นฐานที่มือใหม่ควรรู้”
Like
Comment
Send
Share

Comment as Pupreaw Siriprapha"
13,"Nid Suparatmon
3h
  ·
Sunan Suwan
6h
  ·
ระหว่างช่วงหลังเรียน, การบ้านเป็นวิธีที่ดีที่สุดในการเตรียมตัวสำหรับวันพรุ่งนี้
All reactions:
2
2
Like
Comment
Send
Share

Comment as Pupreaw Siriprapha"
14,"กำไรดีบอกด้วย
Top contributor
  · 3h
  ·
กำไรฟื้นแล้ว
Think plus investor 
3h
  ·

GPSC แจ้งปี 67 กำไร 4,062 ล้านบาท โต 10% ความต้องการไฟฟ้า ไอน้ำ เพิ่ม พร้อมจ่ายปันผลอีก 0.45บาท
#TPinvestor #หุ้น
All reactions:
12
12
2 comments
1 share
Like
Comment
Send
Share
Aii-Mat Sumate
Top contributor
จ่ายปันผล น้อยกว่า Pttgc ที่ขาดทุนมหาศาลอีก
2h
Like
Reply
Share
Nuu SmallWin
Jettanut Kanjanaworanun อ่าาาทยิ้มมุมปาก
1h
Like
Reply
Share

Comment as Pupreaw Siriprapha"
15,"Aii-Mat Sumate
Top contributor
จ่ายปันผล น้อยกว่า Pttgc ที่ขาดทุนมหาศาลอีก
2h
Like
Reply
Share"
16,"Nuu SmallWin
Jettanut Kanjanaworanun อ่าาาทยิ้มมุมปาก
1h
Like
Reply
Share"
17,"กำไรดีบอกด้วย
Top contributor
  · 6h
  ·
สู้เค้าาาา
Think plus investor 
6h
  ·
ในขณะที่ DELTA กับ AOT กำลังทุบดัชนี
หุ้นใหญ่ที่เหลือ กำลังช่วยกันแบก 
.
.
#TPinvestor #หุ้น #หุ้นไทย #ลงทุน
All reactions:
44
44
1 comment
1 share
Like
Comment
Send
Share
Preecharphong Yot
Top contributor
เจอ เดี๋ยวต้า ตัวเดียว ตัวอื่นเขียวๆอย่างเยอะยังดึงให้เขียวไม่ไหว
1h
Like
Reply
Share

Comment as Pupreaw Siriprapha"
18,"Preecharphong Yot
Top contributor
เจอ เดี๋ยวต้า ตัวเดียว ตัวอื่นเขียวๆอย่างเยอะยังดึงให้เขียวไม่ไหว
1h
Like
Reply
Share"
19,"Twt Zizty
Top contributor
  · 1d
  ·
สอบถามคับมือใหม่มีหุ้นตัวไหนทำกำไรให้ได้วันละ10-20%
All reactions:
35
35
41 comments
Like
Comment
Send
Share
Teerapat Nualsri
  ·
Follow
เยอะขนาดนั้นก็แทงสวนแมนยูเลยครับ หุ้นไทยไม่มีแน่นอน
23h
Like
Reply
Share
3
Dollar Lapanantarat
หุ้นคงยาก ไปDw. ไม่ P. ก็. C ม้นได้ตามที่คุณว่าจริงๆ มันก็ขึ้นอยู่กับคุณแล้วว่าจะได้หรือเสีย
1d
Like
Reply
Share

Comment as Pupreaw Siriprapha"
20,"Teerapat Nualsri
  ·
Follow
เยอะขนาดนั้นก็แทงสวนแมนยูเลยครับ หุ้นไทยไม่มีแน่นอน
23h
Like
Reply
Share
3"
21,"Dollar Lapanantarat
หุ้นคงยาก ไปDw. ไม่ P. ก็. C ม้นได้ตามที่คุณว่าจริงๆ มันก็ขึ้นอยู่กับคุณแล้วว่าจะได้หรือเสีย
1d
Like
Reply
Share"
22,"กำไรดีบอกด้วย
Top contributor
  · 3h
  ·
ยับบบ
Think plus investor 
3h
  ·


PTTGC แจ้งปี 67 ขาดทุน 2.98 หมื่นล้านบาท รับผลตั้งด้อยค่า 2 รายการ
กว่า 2 หมื่นล้านบาท
#TPinvestor #หุ้น
All reactions:
44
44
7 comments
2 shares
Like
Comment
Send
Share
Pracha P PeeraAngkoon
Top contributor
พวก ผู้บริหารที่กินเงินเดือนสูงๆ ทำอะไรบ้าง
3h
Like
Reply
Share
2

Comment as Pupreaw Siriprapha"
23,"Pracha P PeeraAngkoon
Top contributor
พวก ผู้บริหารที่กินเงินเดือนสูงๆ ทำอะไรบ้าง
3h
Like
Reply
Share
2"
24,"Sak Chai
Top contributor
  · 1d
  ·
พรุ่งนี้คิดว่าเดลลงกี่บาท หลุดร้อยไหมครับ
All reactions:
45
45
15 comments
Like
Comment
Send
Share
Pracha P PeeraAngkoon
Top contributor
วันนี้หลุดไปแล้ว
2h
Like
Reply
Share

Comment as Pupreaw Siriprapha"
25,"Pracha P PeeraAngkoon
Top contributor
วันนี้หลุดไปแล้ว
2h
Like
Reply
Share"
26,"Kitipong Chang
Top contributor
  · 2h
  ·
""ลงทุนแมน"" บริษัท แอลทีเอ็มเอช จำกัด (มหาชน) หรือ LTMH ได้รับอนุมัติแบบคำขอเสนอขายหลักทรัพย์จากสำนักงาน ก.ล.ต. เตรียมความพร้อมเสนอขายหุ้น IPO และเข้าจดทะเบียนในตลาดหลักทรัพย์
The Opportunity
2h
  ·
""ลงทุนแมน"" บริษัท แอลทีเอ็มเอช จำกัด (มหาชน) หรือ LTMH ได้รับอนุมัติแบบคำขอเสนอขายหลักทรัพย์จากสำนักงาน ก.ล.ต. เตรียมความพร้อมเสนอขายหุ้น IPO และเข้าจดทะเบียนใน… See more
Like
Comment
Send
Share

Comment as Pupreaw Siriprapha"
27,"Anonymous participant
9h
  ·
สวัสดีครับ ผมอายุ 22 ปี ตอนนี้กำลังเริ่มหาการลงทุนในระยะยาว ทั้งหุ้น กับ กองทุน มีแนะนำไหมครับ 
ขอบคุณครับ
4 comments
Like
Comment
Send
Share
Dechavet Kerdpitak
การลงทุนตอนอายุน้อยเป็นสิ่งดีครับ
1. จัดสรรเงิน สำหรับเงินฉุกเฉิน สำหรับ 1ปี อาจเป็นเงินสด สามารถพอใช้ได้ ทันที 2-3 เดือน ที่เหลือเป็นกองทุนตราสารหนี้… See more
3h
Like
Reply
Share
Edited
Vicc Non
Top contributor
หนีปายยยย
9h
Like
Reply
Share

Comment as Pupreaw Siriprapha"
28,"Dechavet Kerdpitak
การลงทุนตอนอายุน้อยเป็นสิ่งดีครับ
1. จัดสรรเงิน สำหรับเงินฉุกเฉิน สำหรับ 1ปี อาจเป็นเงินสด สามารถพอใช้ได้ ทันที 2-3 เดือน ที่เหลือเป็นกองทุนตราสารหนี้… See more
3h
Like
Reply
Share
Edited"
29,"Vicc Non
Top contributor
หนีปายยยย
9h
Like
Reply
Share"
30,"ปัณณธร วงศ์คณิต
Top contributor
  · 2h
  ·
ดอยที่ดี คือดอยที่นาน 
Cryptoกาว - คริปโตกาว
3h
  ·
น้ำตกที่ดี คือน้ำตกที่ลงทางเดียว 
 #BIO
All reactions:
3
3
Like
Comment
Send
Share

Comment as Pupreaw Siriprapha"
31,"Micheal Masino
Top contributor
  · 3h
  ·
ทำไมพวกเราไม่Short Tfexกันคนละ1สัญญาหละครับ เราจะได้คานอำนาจกับรายใหญ่ให้มันพาขึ้นเสียที
All reactions:
14
14
2 comments
Like
Comment
Send
Share
Bulad Ps
น่าจะทำตั้งนานแล้วครับ
3h
Like
Reply
Share

Comment as Pupreaw Siriprapha"
32,"Bulad Ps
น่าจะทำตั้งนานแล้วครับ
3h
Like
Reply
Share"
33,"Kitipong Chang
Top contributor
  · 3h
  ·
นักลงทุนต่างประเทศ “ซื้อ” สุทธิ +4,634.67 ล้านบาท ดัชนีตลาดหลักทรัพย์ไทย ฟื้นขึ้นหลังปิดตลาดภาคบ่าย หนุนโดยหลักทรัพย์ในหลายกลุ่มอุตสาหกรรม
The Opportunity
3h
  ·
นักลงทุนต่างประเทศ “ซื้อ” สุทธิ +4,634.67 ล้านบาท ดัชนีตลาดหลักทรัพย์ไทย ฟื้นขึ้นหลังปิดตลาดภาคบ่าย หนุนโดยหลักทรัพย์ในหลายกลุ่มอุตสาหกรรม
.
ตลาดหลักทรัพย์แห่งป… See more
All reactions:
20
20
2 comments
Like
Comment
Send
Share
Somphob Sam
Top contributor
กองทุนขายเดลต้าแม่นบ่?
3h
Like
Reply
Share

Comment as Pupreaw Siriprapha"
34,"Somphob Sam
Top contributor
กองทุนขายเดลต้าแม่นบ่?
3h
Like
Reply
Share"
35,"Nid Suparatmon
3h
  ·
Pat Thipthara
6h
  ·
ปัจจุบัน ฉันอยู่ในการวิ่งทำธุระในร้านค้า
All reactions:
6
6
1 comment
Like
Comment
Send
Share"
36,"Chai Jinda
Top contributor
  · 7h
  ·
ก ล ต ช่วยติดตามเรื่องหุ้นกู้ด่วนเลยครับ 
อย่ามัวแต่ฮือฮา  โฟกัสผิดจุดผิดเรื่อง
คมชัดลึก 
8h
  ·
ไขข้อสงสัย! ""ณวัฒน์"" ทุ่ม 180 ล้าน ถือลิขสิทธิ์ MISS UNIVERSE THAILAND ร่วม ""แอน จักรพงษ์""
#ณวัฒน์ #MISSUNIVERSETHAILAND #แอนจักรพงษ์ #ถือลิขสิทธิ์
All reactions:
61
61
4 comments
1 share
Like
Comment
Send
Share
Kandong Chris
ไม่มีมิตรแท้และศัตรูที่ถาวรค่ะ
5h
Like
Reply
Share
Chaisumpunsakul Chalermpan
โอ้โห เมื่อก่อนด่ากันยับ
5h
Like
Reply
Share

Answer as Pupreaw Siriprapha"
37,"Kandong Chris
ไม่มีมิตรแท้และศัตรูที่ถาวรค่ะ
5h
Like
Reply
Share"
38,"Chaisumpunsakul Chalermpan
โอ้โห เมื่อก่อนด่ากันยับ
5h
Like
Reply
Share"
39,"Nid Suparatmon
4h
  ·
Pranee Boonma
6h
  ·
ทักทายวันคริสต์มาส มาสนุกสนานไปกับเรา
All reactions:
4
4
1 comment
Like
Comment
Send
Share
Kawin Thongkrom
ลงกลุ่ม หุ้นเพื่อ อะไร
3h
Like
Reply
Share

Comment as Pupreaw Siriprapha"
40,"Kawin Thongkrom
ลงกลุ่ม หุ้นเพื่อ อะไร
3h
Like
Reply
Share"
41,"Nid Suparatmon
3h
  ·
Nok Woranuch
6h
  ·
สามารถเดินไปทำงาน
All reactions:
5
5
Like
Comment
Send
Share

Comment as Pupreaw Siriprapha"
42,"Nid Suparatmon
3h
  ·
Nok Woranuch
6h
  ·
สามารถเดินไปทำงาน
All reactions:
2
2
Like
Comment
Send
Share

Comment as Pupreaw Siriprapha"
