ชื่อกระทู้,วันที่,เวลา,เนื้อหาที่คุย
ตอนนี้รอ Set ที่เท่าไหร่กัน ถึงจะเริ่มซื้อครับ,21/02/2025,06:20,"
"
เศรษฐกิจโตต่ำ ยอดปิดกิจการ-ปิดโรงงานพุ่ง สะเทือนตลาดแรงงาน,21/02/2025,06:09,"
"
ทีทีบี เตรียมปันผล 60% ของกำไรสุทธิ ที่ 0.064-0.067 บาทต่อหุ้น ชี้ยิลด์สูง 7%,21/02/2025,06:07,"
"
...set ช่วงเวลาสำคัญมาถึงแล้ว...,21/02/2025,06:04,"
"
"DOW...!!! Fri,Feb,22,2025",21/02/2025,05:46,"
"
$$$$$ คุยโขมงห้องค้าหุ้นไทย@สินธร ประจำวันศุกร์ ที่ 21 กุมภาพันธ์ 2568 $$$$$,21/02/2025,04:52,"
"
อ้ายหยาดาวล่วงยับ600.พุ่งนี้ปุ่ตุยเย่แน่,21/02/2025,01:14,"
"
ตลาดหุ้นวันนี้ ดูตอนเช้าเห็นลบ 5  แล้วก็ไม่ได้ดูอีกเลย มาเห็นตอนค่ำโอ้วว..ๆๆ  ลบ 20 และอาหารฟรีคืนที่3  เตี๋ยวเป็ด,20/02/2025,23:32,"
"
⭐สรุปหุ้นที่ประกาศงบ Q4  19/2/2025,20/02/2025,23:23,"
"
ไม่ใช่ผู้สร้าง,20/02/2025,21:22,"
"
PTT Station และ Café Amazon คว้ารางวัล World Branding Awards 8 ปีซ้อน ตอกย้ำความสำเร็จแบรนด์ไทยบนเวทีโลก,20/02/2025,21:21,"
"
🔥🔥PTT      ปันผล     : 1.30 บ./หุ้น     XD : 06 มี.ค. 2568      จ่าย : 29 เม.ย. 2568🔥🔥,20/02/2025,21:07,"
"
PTT  จ่ายปันผล 1.30บาท xd6มีนาคม จ่าย29เมษายน68,20/02/2025,21:06,"
"
ซื้อหุ้นแล้วมันไม่ยอมขึ้น ไปฟ้องที่ไหนได้บ้าง,20/02/2025,20:50,"
"
อ้ายหยางบพรี่ปอพุ่งนี้พาปุ่ล่วงยับมั้ย,20/02/2025,20:36,"
"
"Sinthorn Summary 20/2/2568 : ต่างชาติขายสุทธิ -2,820.75 ลบ.",20/02/2025,19:47,"
"
งบพรี่ปอ  แมัไม่หล่อแต่ก็พอดูได้,20/02/2025,19:24,"
"
🔥PTT  2567,20/02/2025,19:23,"
"
ปุ่ล่วงนิวโลเชียนเหลาหายไปไหนไม่ออกมาเคลม,20/02/2025,19:13,"
"
แกงค์ไหนมาทุบหุ้นที่ดีที่สุดในตลาดหุ้นเหรอ ?  เกินปุยมั้ย  นี่ GULF นะ,20/02/2025,19:01,"
"
AP vs SIRI 🏡,20/02/2025,19:00,"
"
📛🌀🤡〰🎢⏳ บ้าบอคอหุ้น® 🚁🎹 Fri 21 Feb 2025 ⌛️〽️〰🤡 🌀📛,20/02/2025,18:51,"
"
EASTW ประกาศจ่ายเงินปันผล 0.01 / หุ้น ผถห.เตรียมรับเงินจุกๆ,20/02/2025,18:38,"
"
🔥TRUE  2567,20/02/2025,18:28,"
"
พายุหมุนเศรษฐกิจกันยังไง ดูบรรดัย บรรดัย ยังไงก็ไม่รู้,20/02/2025,17:39,"
"
หมดตัวแล้ว เจ๊งหุ้นครับ,20/02/2025,17:28,"
"
ขาดทุนหุ้น 8 แสนกว่าบาท เลิกเล่นหุ้นดีไหม,20/02/2025,17:26,"
"
หรั่งมาตามนัด,20/02/2025,17:24,"
"
เมื่อเช้าผมเตือน GULF แต่พรุ่งนี้ ผมจะเข้า,20/02/2025,17:13,"
"
เป็นไปได้ไหมในอนาคตหุ้น BBL-KBANK-SCB จะมีราคาใกล้เคียงกันที่ไม่ต่ำกว่า 160 บาท,20/02/2025,16:59,"
"
รู้ งี้  หมายถึง ผลลัพธ์ที่ดี ที่สุด ที่เราไม่ได้เลือก,20/02/2025,15:57,"
"
กลุ่ม bts vgi roctec ยังไม่ถึงคิวโดนเชือดหรอครับ,20/02/2025,15:55,"
"
หุ้นจะลงยับแค่ไหนแต่ คุณยังมีเกียรติมีศักดิ์ศรีไปพร้อมๆกันอีกหลายคนนะครับ,20/02/2025,15:47,"
"
แล้วเมื่อวานหลั่งทุยวื้อนี่คืออัลลัย,20/02/2025,15:39,"
"
มีของดีมันก็จะนิ่ง,20/02/2025,15:30,"
"
ฺBIG C จะลุยแล้วน๊าาาาาา,20/02/2025,15:27,"
"
เย็นนี้ set ปิดบวก เอาขี้มายัดปากผมได้เลย 55,20/02/2025,15:22,"
"
เจ้า รัฐบาลนี้ VS เจ้า รบ.ลุงตู่,20/02/2025,14:39,"
"
น้ำลดตอผุด XDเสร็จ ก็ขายของ... 900จุดไม่เปลี่ยนแปลง,20/02/2025,14:37,"
"
โลงไฟฟ้าระเบิดพาปุ่ล่วงยับเลย,20/02/2025,14:34,"
"
ที่สังเกตนะ วันพฤหัสที่ไร หุ้นเราโดนขายหนักทุกที,20/02/2025,14:17,"
"
เลิกส่งประกันสังคม แล้วเอาเงินมาถั่วหุ้นมั่นคงกว่าไหม,20/02/2025,13:09,"
"
SCC : สรุปผลการดำเนินงานประจำปี 2567,20/02/2025,12:56,"
"
คืนปันผล intuch gulf ได้ที่ไหนหรอ ไป1000จุดง่ายกว่า1300ซะอีก,20/02/2025,12:16,"
"
Gfpt กำไร New high pe 5 ตลก หุ้นแบบนี้ไม่มีคนมอง,20/02/2025,12:14,"
"
Prime ขายหุ้นโรงไฟฟ้า มีผลดีหรือผลเสียอย่างไร ใครรู้บ้าง,20/02/2025,12:01,"
"
วันก่อนมีคนบอกว่าหุ้นก๊วนหนามกอล์ฟ แข็งโป๊ก  เอิ่ม...ป๋มไปบอกเจ้ามือให้แล้วนะ   ?,20/02/2025,11:50,"
"
SAT ควรถือต่อหรือขาย จะceiling ไหม,20/02/2025,11:37,"
"
"ข้าวฟรี,วันที่ 3 มื้อเช้า.  ตลาดหุ้นเปิดมา ลบ 10 เลยนะ. แต่วันไหน เกิดเจอ เปิดมาลบ50 เลย. โดยที่รอบบ้านไม่ลบ คุณจะทำอะไร",20/02/2025,11:33,"
"
MGI ลงมา 3 วันหลังจากซิลลิ่ง,20/02/2025,11:19,"
"
